City,American Indian- and Alaska Native-owned firms percent 2007  ,Mean travel time to work (minutes) workers age 16+ 2006-2010  ,Manufacturers shipments 2007 (1000)  ,Persons under 18 years percent 2010  ,Persons below poverty level percent 2006-2010  ,Foreign born persons percent  2006-2010  ,Native Hawaiian and Other Pacific Islander-owned firms percent 2007  ,Bachelor's degree or higher pct of persons age 25+ 2006-2010  ,Asian persons percent 2010 (a)  ,Persons 65 years and over percent  2010  ,Hispanic-owned firms percent 2007  ,Population 2010  ,Persons reporting two or more races percent 2010  ,Total number of firms 2007  ,Homeownership rate 2006-2010  ,Persons under 5 years percent 2010  ,Persons per household 2006-2010  ,FIPS Code  ,Households 2006-2010  ,Housing units in multi-unit structures percent 2006-2010  ,Persons per square mile 2010  ,Merchant wholesaler sales 2007 (1000)  ,Women-owned firms percent 2007  ,American Indian and Alaska Native persons percent 2010 (a)  ,Asian-owned firms percent 2007  ,Persons of Hispanic or Latino origin percent 2010 (b)  ,Retail sales 2007 (1000)  ,Black-owned firms percent 2007  ,Black persons percent 2010 (a)  ,Housing units 2010  ,White persons percent 2010 (a)  ,Population 2000  ,Retail sales per capita 2007  ,White persons not Hispanic percent 2010  ,Population 2011 estimate  ,Median value of owner-occupied housing units 2006-2010  ,Language other than English spoken at home pct age 5+ 2006-2010  ,Living in same house 1 year &amp; over 2006-2010  ,Population percent change 2000 to 2010  ,Land area in square miles 2010  ,Native Hawaiian and Other Pacific Islander percent 2010 (a)  ,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,Female persons percent 2010  ,Accommodation and food services sales 2007 (1000)  ,High school graduates percent of persons age 25+ 2006-2010  ,Median household income 2006-2010  
Chickasaw ,F,23,NA,0.269,0.207,0.003,F,0.118,0.005,0.148,S,6106,0.012,398,0.632,0.093,2.44,14392,2516,0.203,1451.4,151175000,S,0.008,F,0.023,40914000,S,0.336,2879,0.63,6364,6845,0.619,NA,84700,0.014,0.8,-0.041,4.21,Z,18105,0.538,1436000,0.806,33061
Lincoln ,F,31.9,NA,0.231,0.143,0.02,F,0.15,0.004,0.125,F,6266,0.014,516,0.797,0.063,2.43,43120,2492,0.012,249.6,D,0.192,0.005,F,0.019,49682000,S,0.234,3197,0.733,4577,8999,0.725,NA,85200,0.007,0.885,0.369,25.1,0,19123,0.508,15061000,0.802,36919
Rainbow City ,F,22.1,NA,0.229,0.126,0.043,F,0.232,0.026,0.168,F,9602,0.014,885,0.633,0.056,2.45,63288,3833,0.254,377.2,50813000,S,0.004,S,0.024,206218000,S,0.072,4534,0.874,8428,22530,0.861,NA,158600,0.041,0.78,0.139,25.46,Z,23422,0.526,14627000,0.901,40236
Athens ,F,21.3,518865000,0.228,0.175,0.056,F,0.254,0.009,0.162,S,21897,0.019,2248,0.611,0.067,2.32,2956,8846,0.248,553.8,138517000,0.209,0.006,S,0.088,515213000,S,0.175,9862,0.73,18967,22763,0.708,NA,134200,0.085,0.841,0.154,39.54,0.001,26136,0.523,57482000,0.817,42127
Calera ,F,29.3,219978000,0.265,0.126,0.044,F,0.275,0.006,0.08,F,11620,0.02,1132,0.817,0.1,2.47,11416,4121,0.081,482.3,346234000,S,0.002,F,0.05,177979000,0.123,0.23,5128,0.712,3158,18493,0.697,NA,139500,0.072,0.856,2.68,24.09,Z,24391,0.521,17652000,0.887,54080
Harvest ,F,25.9,NA,0.281,0.037,0.027,F,0.335,0.012,0.092,F,5281,0.032,F,0.934,0.073,2.85,33472,1549,0.015,428.2,NA,F,0.005,F,0.031,NA,F,0.317,1976,0.622,3054,NA,0.606,NA,165200,0.024,0.879,0.729,12.33,0.001,28619,0.502,NA,0.931,67468
Tuscumbia ,F,20.1,NA,0.216,0.187,0.009,F,0.158,0.003,0.199,F,8423,0.017,937,0.649,0.062,2.2,77280,3608,0.228,963.1,45959000,0.283,0.004,F,0.014,60135000,S,0.212,4120,0.759,7856,7316,0.754,NA,83100,0.021,0.805,0.072,8.75,0,19854,0.541,5629000,0.809,33277
Pike Road ,F,22.1,NA,0.265,0.071,0.01,F,0.535,0.014,0.101,F,5406,0.008,F,0.897,0.063,2.83,59760,1793,0,170.8,NA,F,0.001,F,0.013,NA,F,0.287,2064,0.685,310,NA,0.679,NA,251800,0.023,0.934,16.439,31.64,Z,33807,0.501,NA,0.948,85947
Lanett ,F,19.3,NA,0.223,0.287,0.015,F,0.12,0.001,0.183,F,6468,0.015,547,0.604,0.06,2.65,41296,2532,0.127,1039.9,12393000,0.351,0.002,F,0.024,58218000,S,0.575,3338,0.393,7897,7850,0.386,NA,74500,0.025,0.802,-0.181,6.22,Z,14178,0.54,3987000,0.71,25220
Theodore ,F,22.7,D,0.274,0.226,0.036,F,0.141,0.024,0.114,F,6130,0.022,1034,0.736,0.082,2.78,75768,2215,0.04,766.9,258200000,0.155,0.011,F,0.032,119998000,S,0.133,2473,0.797,6811,NA,0.778,NA,120300,0.056,0.879,-0.1,7.99,Z,17384,0.519,3558000,0.812,41473
Hueytown ,F,24.3,NA,0.223,0.093,0.007,F,0.137,0.005,0.165,F,16105,0.01,1122,0.816,0.056,2.37,36448,6772,0.061,828,27875000,0.281,0.003,S,0.02,216035000,S,0.272,6998,0.7,15364,13633,0.693,NA,109000,0.031,0.897,0.048,19.45,0,23580,0.528,22855000,0.859,44747
Russellville ,F,23,120241000,0.269,0.255,0.129,F,0.16,0.003,0.156,S,9830,0.018,1101,0.617,0.088,2.38,67056,3831,0.216,733.6,D,0.319,0.008,F,0.26,176566000,F,0.092,4086,0.685,8971,20085,0.631,NA,87700,0.191,0.822,0.096,13.4,Z,16641,0.516,18064000,0.697,31213
Guntersville ,F,23.6,D,0.21,0.205,0.034,F,0.259,0.015,0.202,F,8197,0.019,1316,0.581,0.053,2.43,32416,3227,0.262,322.8,153545000,S,0.005,F,0.038,274856000,S,0.078,3872,0.858,7395,32996,0.845,NA,157400,0.054,0.843,0.108,25.39,Z,23468,0.52,34371000,0.797,38094
Oxford ,F,20.1,89173000,0.252,0.134,0.046,F,0.182,0.011,0.133,F,21348,0.015,1570,0.734,0.066,2.68,57576,7805,0.085,696.1,134281000,0.186,0.004,F,0.066,653625000,S,0.126,8806,0.805,14592,32099,0.782,NA,116500,0.082,0.821,0.463,30.67,Z,22815,0.518,84593000,0.816,47928
Moores Mill ,S,22.6,NA,0.232,0.101,0.021,S,0.351,0.015,0.11,S,5682,0.028,S,0.881,0.059,2.49,51216,2092,0.018,417.7,1734000,S,0.011,S,0.024,9493000,S,0.226,2354,0.709,5178,NA,0.697,NA,132500,0.047,0.865,0.097,13.6,0.001,30155,0.51,NA,0.877,67449
Daleville ,F,16,NA,0.239,0.138,0.066,F,0.138,0.027,0.114,F,5295,0.043,F,0.487,0.069,2.23,19360,2313,0.273,375.8,NA,F,0.011,F,0.101,NA,F,0.226,2795,0.662,4653,NA,0.602,NA,94700,0.103,0.744,0.138,14.09,0.002,23663,0.492,NA,0.849,47536
Selma ,F,20.8,D,0.28,0.381,0.014,F,0.193,0.006,0.142,F,20756,0.008,2021,0.512,0.085,2.5,69120,8079,0.254,1503.1,101656000,0.327,0.002,0.069,0.006,356682000,0.521,0.803,9429,0.18,20512,19061,0.179,NA,77200,0.022,0.82,0.012,13.81,Z,16699,0.555,28023000,0.763,21860
Hartselle ,F,23.7,D,0.254,0.117,0.021,F,0.216,0.004,0.142,F,14255,0.017,1434,0.787,0.063,2.66,33448,5177,0.136,876.6,67382000,S,0.008,F,0.025,202201000,F,0.043,6076,0.915,12019,14953,0.906,NA,123000,0.029,0.848,0.186,16.26,Z,21746,0.518,16478000,0.866,47306
Brewton ,F,20.2,102378000,0.227,0.223,0.009,F,0.254,0.004,0.192,F,5408,0.01,558,0.67,0.06,2.43,9208,2129,0.144,482.7,24583000,0.256,0.007,F,0.022,175012000,S,0.426,2522,0.541,5498,33285,0.533,NA,112600,0.01,0.935,-0.016,11.2,0.001,20467,0.537,15061000,0.848,34390
Childersburg ,F,21.6,NA,0.264,0.142,0.016,F,0.112,0.005,0.151,F,5175,0.018,F,0.717,0.077,2.4,14464,2183,0.152,419.2,NA,F,0.004,F,0.013,NA,F,0.369,2356,0.601,4927,NA,0.593,NA,93400,0.024,0.849,0.05,12.35,0,20221,0.548,NA,0.753,38310
Robertsdale ,F,19.6,NA,0.273,0.101,0.036,F,0.169,0.005,0.142,F,5276,0.019,F,0.64,0.083,2.65,65208,1906,0.25,967.7,NA,F,0.008,F,0.092,NA,F,0.054,2164,0.853,3782,NA,0.825,NA,130600,0.029,0.791,0.395,5.45,0,20696,0.527,NA,0.785,41750
Sheffield ,S,16.4,NA,0.218,0.211,0.025,S,0.168,0.003,0.18,S,9039,0.017,S,0.593,0.063,2.28,69648,3947,0.21,1419.2,65098000,S,0.003,S,0.023,167450000,S,0.268,4692,0.697,9652,18299,0.688,NA,77800,0.035,0.859,-0.064,6.37,0.001,19619,0.534,16289000,0.783,34910
Auburn ,F,16.9,868957000,0.175,0.252,0.08,0.009,0.596,0.053,0.069,F,53380,0.016,4084,0.475,0.049,2.23,3076,21031,0.475,919.3,88281000,0.253,0.003,0.03,0.029,672375000,0.104,0.165,24646,0.751,42987,12082,0.735,NA,205600,0.102,0.641,0.242,58.07,Z,24656,0.499,123133000,0.935,35857
Irondale ,F,21.6,NA,0.231,0.099,0.08,F,0.275,0.014,0.123,F,12349,0.014,1052,0.707,0.063,2.39,37864,5096,0.187,713.5,319284000,0.167,0.003,F,0.078,454502000,S,0.354,5495,0.563,9813,47747,0.54,NA,132600,0.108,0.882,0.258,17.31,Z,26752,0.527,15436000,0.88,50057
Ozark ,S,20.5,NA,0.231,0.184,0.03,F,0.196,0.009,0.172,S,14907,0.026,1593,0.584,0.059,2.35,57648,6162,0.184,437.3,32766000,S,0.007,F,0.032,228540000,S,0.302,6920,0.648,15119,15654,0.632,NA,94400,0.045,0.784,-0.014,34.09,Z,22103,0.524,24585000,0.807,41079
Forestdale ,F,24.2,NA,0.232,0.087,0.023,F,0.215,0.002,0.147,F,10162,0.01,804,0.856,0.053,2.64,27088,4099,0.078,1481.3,D,0.443,0.002,F,0.014,50423000,0.748,0.714,4365,0.262,10509,NA,0.259,NA,123300,0.031,0.925,-0.033,6.86,0,23819,0.535,15317000,0.877,52605
Tuscaloosa ,S,16.3,2115581000,0.174,0.298,0.044,F,0.314,0.018,0.098,S,90468,0.011,6900,0.479,0.05,2.45,77256,32724,0.416,1501.9,473631000,0.22,0.002,S,0.03,1693182000,0.191,0.415,40842,0.538,77906,19022,0.526,NA,154000,0.076,0.724,0.161,60.23,Z,21042,0.519,260678000,0.841,31874
Saks ,F,24.6,NA,0.234,0.157,0.017,F,0.114,0.008,0.159,F,10744,0.02,509,0.784,0.06,2.63,67608,4251,0.024,884.2,NA,S,0.004,F,0.034,42469000,S,0.194,4648,0.757,10698,NA,0.744,NA,94700,0.033,0.889,0.004,12.15,Z,20968,0.524,851000,0.769,43955
Albertville ,F,18.4,987938000,0.282,0.236,0.163,F,0.133,0.005,0.125,0.022,21160,0.021,2206,0.671,0.094,2.82,988,7144,0.124,796.8,823136000,0.256,0.008,F,0.279,447483000,0.016,0.019,8128,0.759,17247,22924,0.681,NA,99800,0.228,0.848,0.227,26.56,0.001,16839,0.507,24099000,0.699,35843
Huntsville ,0.011,18.1,8209622000,0.215,0.154,0.068,F,0.379,0.024,0.142,0.014,180105,0.025,14556,0.611,0.062,2.31,37000,73235,0.306,861.5,2425180000,0.299,0.006,0.04,0.058,3675778000,0.138,0.312,84949,0.603,158216,21473,0.58,NA,146800,0.078,0.793,0.138,209.05,0.001,29255,0.514,471899000,0.867,47153
Tuskegee ,F,19,NA,0.185,0.316,0.007,F,0.304,0.005,0.131,F,9865,0.013,902,0.481,0.052,2.14,77304,3352,0.321,613,D,S,0.001,F,0.013,40353000,0.749,0.958,4624,0.019,11846,3573,0.018,NA,83200,0.041,0.71,-0.167,16.09,0,15471,0.559,15605000,0.831,24251
Millbrook ,F,23.7,NA,0.278,0.08,0.016,F,0.247,0.008,0.093,F,14640,0.02,1073,0.75,0.071,2.68,48712,5236,0.116,1142.9,10862000,0.395,0.004,F,0.028,122022000,S,0.216,5996,0.742,10386,7485,0.728,NA,146400,0.037,0.871,0.41,12.81,Z,26002,0.516,16939000,0.913,60475
Mountain Brook ,F,18.3,NA,0.293,0.037,0.027,F,0.816,0.009,0.157,F,20413,0.006,2649,0.9,0.059,2.72,51696,7498,0.127,1596.5,61823000,0.254,0.001,F,0.01,181007000,F,0.01,8266,0.972,20604,8614,0.965,NA,566500,0.039,0.894,-0.009,12.79,0,76763,0.523,39466000,0.988,130721
Tillmans Corner ,F,24.7,NA,0.256,0.204,0.039,F,0.092,0.021,0.126,F,17398,0.019,1178,0.672,0.075,2.56,76320,6425,0.18,1341,39359000,0.183,0.006,S,0.038,155000000,S,0.114,7109,0.822,15685,NA,0.804,NA,101500,0.063,0.837,0.109,12.97,0.001,18291,0.512,18720000,0.802,38031
Birmingham ,0.005,22,4724751000,0.215,0.264,0.036,F,0.213,0.01,0.124,0.013,212237,0.01,20088,0.521,0.069,2.31,7000,90332,0.347,1453,6667818000,0.316,0.002,0.027,0.036,4690397000,0.377,0.734,108981,0.223,242820,20338,0.211,NA,85800,0.051,0.774,-0.126,146.07,Z,19775,0.532,587726000,0.824,31827
Kalifornsky ,F,19.2,NA,0.269,0.07,0.033,F,0.258,0.009,0.091,F,7850,0.056,347,0.83,0.07,2.43,37250,3035,0.111,114,17868000,0.196,0.05,F,0.035,15659000,F,0.004,3531,0.872,5846,NA,0.848,NA,187500,0.061,0.87,0.343,68.87,0.002,32743,0.483,1872000,0.932,71899
Juneau (city and borough),0.052,15.3,NA,0.235,0.065,0.069,F,0.347,0.061,0.084,S,31275,0.095,3500,0.64,0.063,2.52,36400,12005,0.322,11.6,D,0.265,0.118,0.036,0.051,465334000,0.01,0.009,13055,0.697,30711,15235,0.674,NA,291600,0.109,0.787,0.018,2701.93,0.007,34923,0.49,86874000,0.953,75517
Fairbanks ,0.048,13.1,NA,0.26,0.11,0.059,F,0.185,0.036,0.073,0.037,31535,0.079,2649,0.363,0.096,2.4,24230,12139,0.525,995,355080000,0.308,0.1,0.05,0.09,1185557000,0.034,0.09,13056,0.661,30224,33695,0.618,NA,192500,0.136,0.674,0.043,31.69,0.008,26373,0.468,155725000,0.893,51320
Wasilla ,S,30.7,NA,0.294,0.139,0.042,F,0.22,0.021,0.103,S,7831,0.065,3653,0.562,0.089,2.52,83080,2967,0.392,632.5,70389000,0.226,0.052,0.016,0.043,638596000,S,0.014,3277,0.834,5469,65598,0.813,NA,208800,0.071,0.789,0.432,12.38,0.002,28449,0.502,59283000,0.918,52014
Kenai ,S,15.1,NA,0.278,0.103,0.026,F,0.18,0.015,0.098,F,7100,0.079,1767,0.581,0.08,2.32,38420,3012,0.331,248.3,52251000,0.158,0.089,F,0.045,156901000,F,0.007,3166,0.799,6942,20406,0.77,NA,169700,0.047,0.713,0.023,28.59,0.003,27921,0.504,17420000,0.916,52701
Tanaina ,F,29.9,NA,0.323,0.101,0.046,F,0.189,0.012,0.054,F,8197,0.064,F,0.847,0.079,3.15,75077,2744,0.092,269.8,NA,F,0.045,F,0.045,NA,F,0.008,2879,0.859,4993,NA,0.834,NA,209300,0.075,0.81,0.642,30.38,0.001,26631,0.488,NA,0.93,67197
Badger ,F,23.9,NA,0.295,0.05,0.029,F,0.177,0.017,0.052,F,19482,0.058,F,0.836,0.086,2.99,5000,6064,0.06,296.8,NA,F,0.049,F,0.045,NA,F,0.027,7532,0.838,NA,NA,0.811,NA,197200,0.055,0.798,NA,65.63,0.002,29659,0.476,NA,0.937,82283
Kodiak ,0.189,9.8,D,0.27,0.128,0.311,F,0.236,0.374,0.09,S,6130,0.063,1368,0.503,0.078,2.62,40950,2214,0.462,1758,57478000,S,0.099,F,0.094,D,F,0.005,2178,0.403,6334,D,0.373,NA,173000,0.403,0.765,-0.032,3.49,0.01,23674,0.475,21977000,0.882,56731
Sitka (city and borough),0.128,10.1,NA,0.235,0.07,0.073,F,0.292,0.06,0.114,S,8881,0.098,1938,0.559,0.07,2.36,70540,3729,0.244,3.1,D,0.163,0.168,F,0.049,94916000,F,0.005,4102,0.653,8835,10875,0.635,NA,309800,0.116,0.803,0.005,2870.34,0.003,29982,0.495,27072000,0.923,62024
Palmer ,0.049,29.8,NA,0.293,0.181,0.021,F,0.203,0.011,0.096,0.019,5937,0.076,1783,0.625,0.08,2.58,58660,1860,0.276,1152.1,44129000,0.266,0.092,F,0.046,140302000,S,0.018,2281,0.791,4533,18057,0.764,NA,175700,0.084,0.754,0.31,5.15,0.004,22709,0.505,17428000,0.894,54706
Chena Ridge ,F,19.5,NA,0.235,0.021,0.092,F,0.435,0.018,0.059,F,5791,0.061,F,0.799,0.064,2.87,12920,1960,0.036,158.8,NA,F,0.062,F,0.032,NA,F,0.013,2596,0.838,NA,NA,0.819,NA,254900,0.139,0.82,NA,36.47,Z,38320,0.472,NA,0.96,91389
Bethel ,0.295,8.5,NA,0.327,0.078,0.011,F,0.258,0.025,0.045,S,6080,0.073,567,0.437,0.1,3.36,6520,1725,0.315,140.8,D,0.247,0.65,S,0.022,63372000,F,0.009,2364,0.233,5471,9949,0.227,NA,220700,0.456,0.706,0.111,43.18,0.004,29220,0.481,D,0.917,86935
Meadow Lakes ,F,37.3,NA,0.29,0.14,0.037,F,0.117,0.01,0.067,F,7570,0.062,F,0.826,0.082,2.74,47735,2425,0.094,100.6,NA,F,0.058,F,0.034,NA,F,0.007,3239,0.852,4819,NA,0.833,NA,184900,0.069,0.846,0.571,75.22,0.004,24333,0.474,NA,0.902,57091
Knik-Fairview ,F,36.5,NA,0.324,0.08,0.021,F,0.162,0.014,0.058,F,14923,0.072,220,0.876,0.097,3.09,40645,3958,0.064,179.6,D,S,0.053,F,0.041,D,F,0.01,5535,0.843,7049,D,0.818,NA,198900,0.052,0.842,1.117,83.1,0.004,26573,0.484,D,0.9,71181
Sterling ,F,22.2,NA,0.221,0.058,0.009,F,0.242,0.008,0.125,F,5617,0.043,F,0.845,0.054,2.41,73070,2202,0.027,72.2,NA,F,0.044,F,0.027,NA,F,0.001,3347,0.898,4705,NA,0.882,NA,221600,0.031,0.868,0.194,77.76,0.001,32672,0.472,NA,0.943,64545
Homer ,0.072,13.9,NA,0.219,0.079,0.038,F,0.337,0.01,0.145,F,5003,0.045,1909,0.585,0.062,2.17,33140,2289,0.226,361.8,D,0.129,0.041,F,0.021,96109000,F,0.004,2692,0.893,3946,16897,0.883,NA,251200,0.117,0.762,0.268,13.83,0.001,32035,0.505,27542000,0.961,52057
Lakes ,S,30.4,NA,0.291,0.055,0.026,F,0.234,0.009,0.077,F,8364,0.068,411,0.821,0.062,2.8,42832,3254,0.099,665.7,NA,0.212,0.052,F,0.042,13618000,F,0.009,3068,0.85,6706,NA,0.826,NA,230100,0.054,0.832,0.247,12.57,0.001,33169,0.489,D,0.956,82875
Ketchikan ,F,11.9,NA,0.239,0.108,0.097,F,0.226,0.108,0.107,F,8050,0.1,1158,0.503,0.071,2.2,38970,3575,0.511,1849.3,70253000,0.163,0.167,0.038,0.044,231892000,F,0.008,3731,0.607,7922,30364,0.588,NA,210500,0.141,0.722,0.016,4.35,0.003,27016,0.492,38467000,0.912,51983
Steele Creek ,F,20.7,NA,0.247,0.008,0.022,F,0.372,0.009,0.07,F,6662,0.059,F,0.936,0.063,2.76,72985,2294,0.026,71.8,NA,F,0.038,F,0.032,NA,F,0.008,2743,0.874,NA,NA,0.858,NA,230900,0.068,0.889,NA,92.84,0.002,34389,0.485,NA,0.959,82206
Gateway ,F,33,NA,0.307,0.036,0.043,F,0.324,0.018,0.059,F,5552,0.061,F,0.881,0.079,3.08,28200,1792,0.055,257.7,NA,F,0.042,F,0.037,NA,F,0.01,1962,0.853,2952,NA,0.833,NA,256800,0.056,0.902,0.881,21.55,0.005,33318,0.494,NA,0.959,88816
Anchorage (municipality),0.057,18.2,D,0.26,0.079,0.092,S,0.33,0.081,0.072,0.031,291826,0.081,26731,0.617,0.075,2.66,3000,104315,0.353,171.2,2914025000,0.302,0.079,0.053,0.076,4482714000,0.025,0.056,113032,0.66,260283,16096,0.626,NA,269500,0.163,0.77,0.121,1704.68,0.02,34678,0.492,933301000,0.919,73004
College ,S,16.6,NA,0.214,0.096,0.1,F,0.389,0.046,0.071,F,12964,0.081,844,0.657,0.06,2.62,16750,4731,0.296,690.3,17895000,0.295,0.095,0.033,0.053,201118000,F,0.032,5211,0.731,11402,NA,0.705,NA,218500,0.156,0.738,0.137,18.78,0.004,34290,0.477,41095000,0.945,72061
Three Points ,S,41.6,NA,0.239,0.293,0.074,S,0.072,0.005,0.138,S,5581,0.03,S,0.846,0.056,2.93,73700,1765,0,120.2,D,S,0.038,S,0.38,9763000,S,0.009,2487,0.736,5273,NA,0.559,NA,91800,0.288,0.886,0.058,46.42,0.002,15202,0.486,1120000,0.703,35995
Flagstaff ,S,15,1314248000,0.206,0.194,0.082,F,0.399,0.019,0.064,0.074,65870,0.036,6230,0.481,0.061,2.55,23620,22160,0.366,1031.3,405856000,0.285,0.117,0.026,0.184,1174377000,0.014,0.019,26254,0.734,52894,19717,0.644,NA,310500,0.198,0.699,0.245,63.87,0.002,22959,0.506,294467000,0.906,49471
Florence ,F,19.8,NA,0.069,0.126,0.212,F,0.049,0.009,0.091,S,25536,0.02,730,0.709,0.018,2.2,23760,2425,0.152,486.9,NA,S,0.144,F,0.312,30041000,F,0.063,5224,0.634,17054,1522,0.466,NA,118200,0.402,0.517,0.497,52.45,0.001,8577,0.179,28749000,0.67,41642
Flowing Wells ,F,21.6,93572000,0.237,0.222,0.186,F,0.111,0.012,0.169,S,16419,0.037,581,0.722,0.065,2.36,23960,6843,0.023,4084.3,74790000,0.232,0.02,F,0.363,97807000,F,0.017,7505,0.777,15050,NA,0.582,NA,64100,0.268,0.827,0.091,4.02,0.001,17501,0.513,5170000,0.805,31804
Anthem ,F,30.5,NA,0.33,0.056,0.05,F,0.428,0.026,0.102,F,21700,0.03,F,0.806,0.073,3,2430,6616,0.031,2717.9,NA,F,0.006,F,0.092,NA,F,0.019,8801,0.897,NA,NA,0.838,NA,368000,0.088,0.802,NA,7.98,0.002,34077,0.508,NA,0.954,82063
Bullhead City ,S,18.8,NA,0.196,0.207,0.105,F,0.122,0.014,0.239,0.072,39540,0.03,2597,0.637,0.054,2.34,8220,17040,0.152,665.9,26087000,S,0.011,S,0.237,570700000,S,0.013,23464,0.819,33769,13919,0.711,NA,139200,0.167,0.752,0.171,59.38,0.001,20768,0.506,54644000,0.799,36549
Catalina Foothills ,F,23.3,NA,0.17,0.044,0.106,F,0.645,0.052,0.249,S,50796,0.022,5927,0.759,0.032,2.22,11230,23393,0.206,1209.2,57786000,0.259,0.004,S,0.1,256090000,0.005,0.014,27211,0.889,53794,NA,0.815,NA,461400,0.137,0.858,-0.056,42.01,0.001,55405,0.522,225656000,0.976,86812
Queen Creek ,S,33.5,NA,0.374,0.053,0.056,F,0.287,0.028,0.052,0.11,26361,0.036,5603,0.856,0.104,3.56,58150,6483,0.019,940.2,42839000,0.313,0.007,S,0.173,241068000,S,0.034,8557,0.836,4316,11028,0.74,NA,319600,0.137,0.783,5.108,28.04,0.001,26507,0.499,25551000,0.944,81916
Golden Valley ,F,27.4,NA,0.171,0.157,0.032,F,0.043,0.009,0.257,F,8370,0.028,F,0.858,0.042,2.43,28195,3465,0,106.3,NA,F,0.015,F,0.105,NA,F,0.005,4342,0.909,4515,NA,0.847,NA,110800,0.068,0.807,0.854,78.75,0.003,16850,0.484,NA,0.736,34144
Sahuarita ,F,29.6,NA,0.298,0.053,0.07,F,0.36,0.02,0.147,S,25259,0.042,1444,0.822,0.095,2.74,62140,7845,0.046,813.8,3486000,0.318,0.013,F,0.32,167996000,F,0.029,10615,0.803,3242,8135,0.604,NA,249700,0.186,0.761,6.791,31.04,0.001,28962,0.512,7788000,0.964,73827
Avra Valley ,F,36.7,NA,0.246,0.152,0.109,F,0.113,0.003,0.129,S,6050,0.035,194,0.809,0.06,3.04,4880,2198,0.023,272.7,D,S,0.023,F,0.228,D,F,0.019,2487,0.826,5038,D,0.718,NA,125600,0.243,0.878,0.201,22.19,0.001,17196,0.492,D,0.77,44870
Phoenix ,0.013,24.8,16926892000,0.282,0.191,0.217,0.001,0.255,0.032,0.084,0.113,1445632,0.036,112202,0.596,0.083,2.77,55000,515701,0.322,2797.8,23670515000,0.268,0.022,0.037,0.408,21859505000,0.03,0.065,590149,0.659,1321045,14209,0.465,NA,221800,0.369,0.782,0.094,516.7,0.002,24460,0.498,3644383000,0.798,48823
Mesa ,0.016,25.4,3072462000,0.263,0.119,0.14,S,0.235,0.019,0.141,0.085,439041,0.034,32383,0.656,0.077,2.63,46000,165910,0.266,3217.5,2037336000,0.279,0.024,0.023,0.264,6294523000,0.011,0.035,201173,0.771,396375,13669,0.643,NA,200300,0.221,0.813,0.108,136.45,0.004,24647,0.508,753178000,0.861,50079
Sun Lakes ,F,25.4,NA,0.003,0.028,0.056,F,0.335,0.008,0.729,F,13975,0.005,1161,0.923,Z,1.69,70530,7988,0.046,2628.9,D,0.334,0.002,F,0.018,53008000,F,0.012,10028,0.97,11936,NA,0.955,NA,259100,0.049,0.921,0.171,5.32,Z,39403,0.56,5162000,0.957,51977
Safford ,F,16,NA,0.3,0.205,0.017,F,0.141,0.009,0.146,S,9566,0.037,817,0.653,0.092,2.77,62000,3377,0.17,1117.4,37153000,S,0.016,F,0.436,284814000,F,0.012,3908,0.814,9232,31131,0.518,NA,134100,0.182,0.826,0.036,8.56,0.001,17212,0.515,26027000,0.842,37405
Rio Rico ,F,21.3,NA,0.342,0.218,0.302,F,0.177,0.005,0.076,F,18962,0.018,F,0.82,0.086,4.17,60180,4617,0.092,304.6,NA,F,0.006,F,0.853,NA,F,0.004,6356,0.71,NA,NA,0.136,NA,155600,0.784,0.935,NA,62.26,0.001,15436,0.511,NA,0.752,43805
Youngtown,F,29,NA,0.253,0.165,0.195,F,0.139,0.028,0.192,F,6156,0.034,F,0.601,0.08,2.63,85400,2109,0.24,4015.7,NA,F,0.014,F,0.33,NA,F,0.043,2831,0.733,3010,NA,0.585,NA,138100,0.301,0.829,1.045,1.53,0.001,17471,0.523,NA,0.738,36280
Coolidge ,F,25.6,NA,0.321,0.195,0.061,F,0.136,0.01,0.103,S,11825,0.05,430,0.677,0.098,2.54,15500,4258,0.075,209.3,33070000,S,0.057,F,0.42,151592000,F,0.078,4796,0.627,7786,15314,0.436,NA,105700,0.229,0.773,0.519,56.49,0.001,19823,0.514,9464000,0.776,40529
Apache Junction ,S,30.7,NA,0.199,0.146,0.091,F,0.125,0.008,0.261,0.078,35840,0.024,2271,0.802,0.054,2.22,2830,15259,0.086,1024.2,24707000,0.244,0.011,S,0.144,447477000,F,0.012,22564,0.895,31814,13756,0.813,NA,110100,0.152,0.866,0.127,34.99,0.001,21489,0.514,36282000,0.839,39467
Goodyear ,0.009,30.4,185496000,0.27,0.075,0.116,F,0.287,0.043,0.108,0.103,65275,0.039,4040,0.779,0.073,2.98,28380,18217,0.073,340.9,D,0.295,0.013,0.065,0.278,631710000,0.037,0.067,25027,0.719,18911,11669,0.583,NA,271500,0.229,0.757,2.452,191.48,0.002,28141,0.531,105052000,0.9,76221
Paulden ,F,32.6,NA,0.244,0.216,0.034,F,0.12,0.004,0.149,F,5231,0.028,F,0.884,0.06,2.87,53560,1508,0,91.7,NA,F,0.014,F,0.243,NA,F,0.007,2268,0.828,3420,NA,0.717,NA,207800,0.096,0.88,0.53,57.06,0.001,17223,0.493,NA,0.837,42373
