City,State,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007 ($1000)  ","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 (a)  ","Persons 65 years and over, percent,  2010  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ",FIPS Code  ,"Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 (a)  ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 (b)  ","Retail sales, 2007 ($1000)  ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 (a)  ","Housing units, 2010  ","White persons, percent, 2010 (a)  ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year &amp; over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 (a)  ",Per capita money income in past 12 months (2010 dollars) 2006-2010  ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007 ($1000)  ","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  
Clay ,Alabama,F,27.4,NA,0.239,0.036,0.01,F,0.256,0.006,0.111,F,"9,708",0.011,423,0.898,0.052,2.94,15256,"3,238",0.026,977.3,D,S,0.003,F,0.013,37985000,F,0.133,"3,799",0.841,"4,947","$4,532 ",0.834,NA,"$167,700 ",0.009,0.894,0.962,9.93,Z,"$28,000 ",0.515,2560000,0.935,"$70,273 "
Satsuma ,Alabama,F,25.4,NA,0.238,0.007,0,F,0.199,0.006,0.149,F,"6,168",0.011,552,0.907,0.058,2.83,68352,"2,142",0.011,820.2,D,0.299,0.012,F,0.011,65889000,F,0.079,"2,416",0.887,"5,687","$10,994 ",0.882,NA,"$145,900 ",0.016,0.909,0.085,7.52,Z,"$25,087 ",0.518,4770000,0.916,"$59,289 "
Pinson ,Alabama,S,31,445835000,0.244,0.057,0.004,F,0.197,0.004,0.119,F,"7,163",0.01,645,0.918,0.059,2.65,60648,"2,699",0.013,709.2,22995000,S,0.002,F,0.037,61127000,F,0.17,"2,948",0.79,"5,033","$8,860 ",0.778,NA,"$136,600 ",0.027,0.927,0.423,10.1,Z,"$23,902 ",0.522,6955000,0.915,"$56,863 "
Gadsden ,Alabama,F,19.9,977752000,0.225,0.249,0.032,F,0.156,0.006,0.168,F,"36,856",0.019,"3,347",0.613,0.064,2.27,28696,"15,806",0.196,991.8,168673000,0.24,0.004,S,0.054,722565000,0.132,0.363,"17,672",0.573,"38,978","$19,598 ",0.56,NA,"$71,000 ",0.05,0.793,-0.054,37.16,0.004,"$18,610 ",0.525,94627000,0.772,"$28,386 "
Foley ,Alabama,F,21.8,D,0.209,0.192,0.058,F,0.205,0.011,0.22,F,"14,618",0.016,"1,878",0.599,0.071,2.38,26992,"5,600",0.237,567.4,60484000,0.204,0.006,F,0.095,608203000,S,0.149,"7,359",0.771,"7,590","$44,946 ",0.727,NA,"$171,800 ",0.076,0.744,0.926,25.77,0.001,"$22,967 ",0.531,66320000,0.877,"$41,221 "
Center Point ,Alabama,F,26.4,NA,0.286,0.187,0.028,F,0.153,0.004,0.118,F,"16,921",0.011,986,0.702,0.076,2.71,13264,"6,157",0.221,"2,766.70",D,0.455,0.002,F,0.048,82550000,0.408,0.629,"7,221",0.326,"22,784","$5,330 ",0.311,NA,"$108,300 ",0.026,0.84,-0.257,6.12,Z,"$18,918 ",0.537,9369000,0.871,"$41,646 "
Opelika ,Alabama,F,16,D,0.254,0.221,0.052,F,0.242,0.017,0.123,S,"26,477",0.013,"3,603",0.636,0.077,2.32,57048,"10,943",0.171,444.3,659210000,0.309,0.003,S,0.044,675076000,S,0.435,"11,751",0.506,"23,498","$25,940 ",0.492,NA,"$117,000 ",0.067,0.814,0.127,59.59,0.002,"$21,862 ",0.525,71368000,0.81,"$36,415 "
Alabaster ,Alabama,F,31.9,287605000,0.282,0.063,0.057,F,0.314,0.009,0.091,F,"30,352",0.015,"2,269",0.868,0.075,2.72,820,"10,710",0.069,"1,212.00",306504000,0.344,0.004,S,0.09,388744000,0.056,0.135,"11,295",0.794,"22,619","$13,493 ",0.751,NA,"$161,800 ",0.076,0.863,0.342,25.04,Z,"$27,935 ",0.507,38405000,0.902,"$67,346 "
Demopolis ,Alabama,F,14.6,D,0.27,0.268,0.008,F,0.253,0.005,0.148,F,"7,483",0.008,633,0.606,0.079,2.45,20296,"3,059",0.161,421.9,52674000,0.106,0.001,S,0.024,151485000,S,0.501,"3,417",0.473,"7,540","$20,627 ",0.465,NA,"$119,400 ",0.013,0.809,-0.008,17.74,Z,"$21,116 ",0.553,15440000,0.822,"$35,583 "
Meridianville ,Alabama,F,24.9,NA,0.256,0.058,0.027,F,0.229,0.017,0.12,F,"6,021",0.02,F,0.923,0.064,2.92,48112,"2,016",0,387.4,NA,F,0.007,F,0.027,NA,F,0.185,"2,353",0.763,"4,117",NA,0.748,NA,"$159,700 ",0.025,0.881,0.462,15.54,0.002,"$26,834 ",0.517,NA,0.916,"$68,864 "
Helena ,Alabama,F,31.8,NA,0.307,0.058,0.045,F,0.481,0.015,0.067,0.018,"16,793",0.013,"1,416",0.929,0.088,2.73,34024,"5,655",0.013,825.4,D,S,0.002,F,0.033,49862000,S,0.131,"6,268",0.825,"10,296","$3,434 ",0.807,NA,"$179,800 ",0.07,0.88,0.631,20.34,Z,"$31,333 ",0.517,5979000,0.951,"$76,029 "
Greenville ,Alabama,F,19.3,D,0.273,0.249,0.015,F,0.122,0.018,0.148,F,"8,135",0.005,"1,134",0.499,0.074,2.42,31912,"3,253",0.305,380.9,D,S,Z,0.049,0.013,201218000,S,0.555,"3,698",0.417,"7,228","$28,820 ",0.412,NA,"$81,400 ",0.024,0.895,0.125,21.36,Z,"$15,649 ",0.549,26598000,0.748,"$26,664 "
Pelham ,Alabama,0.014,26.7,469459000,0.26,0.065,0.121,F,0.4,0.024,0.094,0.05,"21,352",0.016,"2,865",0.851,0.074,2.63,58848,"7,745",0.026,547.2,2548367000,0.185,0.003,S,0.149,689600000,S,0.075,"8,541",0.812,"14,369","$33,261 ",0.739,NA,"$167,000 ",0.159,0.851,0.486,39.02,0.001,"$30,467 ",0.513,57234000,0.931,"$67,622 "
Phenix City ,Alabama,F,19.1,D,0.269,0.239,0.02,F,0.139,0.007,0.118,S,"32,822",0.022,"2,451",0.549,0.083,2.5,59472,"12,447",0.301,"1,182.60",74072000,0.362,0.003,S,0.04,233165000,0.347,0.466,"15,198",0.487,"28,265","$7,651 ",0.469,NA,"$111,300 ",0.038,0.748,0.161,27.75,0.002,"$18,883 ",0.533,45931000,0.808,"$33,120 "
Chickasaw ,Alabama,F,23,NA,0.269,0.207,0.003,F,0.118,0.005,0.148,S,"6,106",0.012,398,0.632,0.093,2.44,14392,"2,516",0.203,"1,451.40",151175000,S,0.008,F,0.023,40914000,S,0.336,"2,879",0.63,"6,364","$6,845 ",0.619,NA,"$84,700 ",0.014,0.8,-0.041,4.21,Z,"$18,105 ",0.538,1436000,0.806,"$33,061 "
Lincoln ,Alabama,F,31.9,NA,0.231,0.143,0.02,F,0.15,0.004,0.125,F,"6,266",0.014,516,0.797,0.063,2.43,43120,"2,492",0.012,249.6,D,0.192,0.005,F,0.019,49682000,S,0.234,"3,197",0.733,"4,577","$8,999 ",0.725,NA,"$85,200 ",0.007,0.885,0.369,25.1,0,"$19,123 ",0.508,15061000,0.802,"$36,919 "
Rainbow City ,Alabama,F,22.1,NA,0.229,0.126,0.043,F,0.232,0.026,0.168,F,"9,602",0.014,885,0.633,0.056,2.45,63288,"3,833",0.254,377.2,50813000,S,0.004,S,0.024,206218000,S,0.072,"4,534",0.874,"8,428","$22,530 ",0.861,NA,"$158,600 ",0.041,0.78,0.139,25.46,Z,"$23,422 ",0.526,14627000,0.901,"$40,236 "
Athens ,Alabama,F,21.3,518865000,0.228,0.175,0.056,F,0.254,0.009,0.162,S,"21,897",0.019,"2,248",0.611,0.067,2.32,2956,"8,846",0.248,553.8,138517000,0.209,0.006,S,0.088,515213000,S,0.175,"9,862",0.73,"18,967","$22,763 ",0.708,NA,"$134,200 ",0.085,0.841,0.154,39.54,0.001,"$26,136 ",0.523,57482000,0.817,"$42,127 "
Calera ,Alabama,F,29.3,219978000,0.265,0.126,0.044,F,0.275,0.006,0.08,F,"11,620",0.02,"1,132",0.817,0.1,2.47,11416,"4,121",0.081,482.3,346234000,S,0.002,F,0.05,177979000,0.123,0.23,"5,128",0.712,"3,158","$18,493 ",0.697,NA,"$139,500 ",0.072,0.856,2.68,24.09,Z,"$24,391 ",0.521,17652000,0.887,"$54,080 "
Harvest ,Alabama,F,25.9,NA,0.281,0.037,0.027,F,0.335,0.012,0.092,F,"5,281",0.032,F,0.934,0.073,2.85,33472,"1,549",0.015,428.2,NA,F,0.005,F,0.031,NA,F,0.317,"1,976",0.622,"3,054",NA,0.606,NA,"$165,200 ",0.024,0.879,0.729,12.33,0.001,"$28,619 ",0.502,NA,0.931,"$67,468 "
Tuscumbia ,Alabama,F,20.1,NA,0.216,0.187,0.009,F,0.158,0.003,0.199,F,"8,423",0.017,937,0.649,0.062,2.2,77280,"3,608",0.228,963.1,45959000,0.283,0.004,F,0.014,60135000,S,0.212,"4,120",0.759,"7,856","$7,316 ",0.754,NA,"$83,100 ",0.021,0.805,0.072,8.75,0,"$19,854 ",0.541,5629000,0.809,"$33,277 "
Pike Road ,Alabama,F,22.1,NA,0.265,0.071,0.01,F,0.535,0.014,0.101,F,"5,406",0.008,F,0.897,0.063,2.83,59760,"1,793",0,170.8,NA,F,0.001,F,0.013,NA,F,0.287,"2,064",0.685,310,NA,0.679,NA,"$251,800 ",0.023,0.934,16.439,31.64,Z,"$33,807 ",0.501,NA,0.948,"$85,947 "
Lanett ,Alabama,F,19.3,NA,0.223,0.287,0.015,F,0.12,0.001,0.183,F,"6,468",0.015,547,0.604,0.06,2.65,41296,"2,532",0.127,"1,039.90",12393000,0.351,0.002,F,0.024,58218000,S,0.575,"3,338",0.393,"7,897","$7,850 ",0.386,NA,"$74,500 ",0.025,0.802,-0.181,6.22,Z,"$14,178 ",0.54,3987000,0.71,"$25,220 "
Theodore ,Alabama,F,22.7,D,0.274,0.226,0.036,F,0.141,0.024,0.114,F,"6,130",0.022,"1,034",0.736,0.082,2.78,75768,"2,215",0.04,766.9,258200000,0.155,0.011,F,0.032,119998000,S,0.133,"2,473",0.797,"6,811",NA,0.778,NA,"$120,300 ",0.056,0.879,-0.1,7.99,Z,"$17,384 ",0.519,3558000,0.812,"$41,473 "
Hueytown ,Alabama,F,24.3,NA,0.223,0.093,0.007,F,0.137,0.005,0.165,F,"16,105",0.01,"1,122",0.816,0.056,2.37,36448,"6,772",0.061,828,27875000,0.281,0.003,S,0.02,216035000,S,0.272,"6,998",0.7,"15,364","$13,633 ",0.693,NA,"$109,000 ",0.031,0.897,0.048,19.45,0,"$23,580 ",0.528,22855000,0.859,"$44,747 "
Russellville ,Alabama,F,23,120241000,0.269,0.255,0.129,F,0.16,0.003,0.156,S,"9,830",0.018,"1,101",0.617,0.088,2.38,67056,"3,831",0.216,733.6,D,0.319,0.008,F,0.26,176566000,F,0.092,"4,086",0.685,"8,971","$20,085 ",0.631,NA,"$87,700 ",0.191,0.822,0.096,13.4,Z,"$16,641 ",0.516,18064000,0.697,"$31,213 "
Guntersville ,Alabama,F,23.6,D,0.21,0.205,0.034,F,0.259,0.015,0.202,F,"8,197",0.019,"1,316",0.581,0.053,2.43,32416,"3,227",0.262,322.8,153545000,S,0.005,F,0.038,274856000,S,0.078,"3,872",0.858,"7,395","$32,996 ",0.845,NA,"$157,400 ",0.054,0.843,0.108,25.39,Z,"$23,468 ",0.52,34371000,0.797,"$38,094 "
Oxford ,Alabama,F,20.1,89173000,0.252,0.134,0.046,F,0.182,0.011,0.133,F,"21,348",0.015,"1,570",0.734,0.066,2.68,57576,"7,805",0.085,696.1,134281000,0.186,0.004,F,0.066,653625000,S,0.126,"8,806",0.805,"14,592","$32,099 ",0.782,NA,"$116,500 ",0.082,0.821,0.463,30.67,Z,"$22,815 ",0.518,84593000,0.816,"$47,928 "
Moores Mill ,Alabama,S,22.6,NA,0.232,0.101,0.021,S,0.351,0.015,0.11,S,"5,682",0.028,S,0.881,0.059,2.49,51216,"2,092",0.018,417.7,1734000,S,0.011,S,0.024,9493000,S,0.226,"2,354",0.709,"5,178",NA,0.697,NA,"$132,500 ",0.047,0.865,0.097,13.6,0.001,"$30,155 ",0.51,NA,0.877,"$67,449 "
Daleville ,Alabama,F,16,NA,0.239,0.138,0.066,F,0.138,0.027,0.114,F,"5,295",0.043,F,0.487,0.069,2.23,19360,"2,313",0.273,375.8,NA,F,0.011,F,0.101,NA,F,0.226,"2,795",0.662,"4,653",NA,0.602,NA,"$94,700 ",0.103,0.744,0.138,14.09,0.002,"$23,663 ",0.492,NA,0.849,"$47,536 "
Selma ,Alabama,F,20.8,D,0.28,0.381,0.014,F,0.193,0.006,0.142,F,"20,756",0.008,"2,021",0.512,0.085,2.5,69120,"8,079",0.254,"1,503.10",101656000,0.327,0.002,0.069,0.006,356682000,0.521,0.803,"9,429",0.18,"20,512","$19,061 ",0.179,NA,"$77,200 ",0.022,0.82,0.012,13.81,Z,"$16,699 ",0.555,28023000,0.763,"$21,860 "
Hartselle ,Alabama,F,23.7,D,0.254,0.117,0.021,F,0.216,0.004,0.142,F,"14,255",0.017,"1,434",0.787,0.063,2.66,33448,"5,177",0.136,876.6,67382000,S,0.008,F,0.025,202201000,F,0.043,"6,076",0.915,"12,019","$14,953 ",0.906,NA,"$123,000 ",0.029,0.848,0.186,16.26,Z,"$21,746 ",0.518,16478000,0.866,"$47,306 "
Brewton ,Alabama,F,20.2,102378000,0.227,0.223,0.009,F,0.254,0.004,0.192,F,"5,408",0.01,558,0.67,0.06,2.43,9208,"2,129",0.144,482.7,24583000,0.256,0.007,F,0.022,175012000,S,0.426,"2,522",0.541,"5,498","$33,285 ",0.533,NA,"$112,600 ",0.01,0.935,-0.016,11.2,0.001,"$20,467 ",0.537,15061000,0.848,"$34,390 "
Childersburg ,Alabama,F,21.6,NA,0.264,0.142,0.016,F,0.112,0.005,0.151,F,"5,175",0.018,F,0.717,0.077,2.4,14464,"2,183",0.152,419.2,NA,F,0.004,F,0.013,NA,F,0.369,"2,356",0.601,"4,927",NA,0.593,NA,"$93,400 ",0.024,0.849,0.05,12.35,0,"$20,221 ",0.548,NA,0.753,"$38,310 "
Robertsdale ,Alabama,F,19.6,NA,0.273,0.101,0.036,F,0.169,0.005,0.142,F,"5,276",0.019,F,0.64,0.083,2.65,65208,"1,906",0.25,967.7,NA,F,0.008,F,0.092,NA,F,0.054,"2,164",0.853,"3,782",NA,0.825,NA,"$130,600 ",0.029,0.791,0.395,5.45,0,"$20,696 ",0.527,NA,0.785,"$41,750 "
Sheffield ,Alabama,S,16.4,NA,0.218,0.211,0.025,S,0.168,0.003,0.18,S,"9,039",0.017,S,0.593,0.063,2.28,69648,"3,947",0.21,"1,419.20",65098000,S,0.003,S,0.023,167450000,S,0.268,"4,692",0.697,"9,652","$18,299 ",0.688,NA,"$77,800 ",0.035,0.859,-0.064,6.37,0.001,"$19,619 ",0.534,16289000,0.783,"$34,910 "
Auburn ,Alabama,F,16.9,868957000,0.175,0.252,0.08,0.009,0.596,0.053,0.069,F,"53,380",0.016,"4,084",0.475,0.049,2.23,3076,"21,031",0.475,919.3,88281000,0.253,0.003,0.03,0.029,672375000,0.104,0.165,"24,646",0.751,"42,987","$12,082 ",0.735,NA,"$205,600 ",0.102,0.641,0.242,58.07,Z,"$24,656 ",0.499,123133000,0.935,"$35,857 "
Irondale ,Alabama,F,21.6,NA,0.231,0.099,0.08,F,0.275,0.014,0.123,F,"12,349",0.014,"1,052",0.707,0.063,2.39,37864,"5,096",0.187,713.5,319284000,0.167,0.003,F,0.078,454502000,S,0.354,"5,495",0.563,"9,813","$47,747 ",0.54,NA,"$132,600 ",0.108,0.882,0.258,17.31,Z,"$26,752 ",0.527,15436000,0.88,"$50,057 "
Ozark ,Alabama,S,20.5,NA,0.231,0.184,0.03,F,0.196,0.009,0.172,S,"14,907",0.026,"1,593",0.584,0.059,2.35,57648,"6,162",0.184,437.3,32766000,S,0.007,F,0.032,228540000,S,0.302,"6,920",0.648,"15,119","$15,654 ",0.632,NA,"$94,400 ",0.045,0.784,-0.014,34.09,Z,"$22,103 ",0.524,24585000,0.807,"$41,079 "
Forestdale ,Alabama,F,24.2,NA,0.232,0.087,0.023,F,0.215,0.002,0.147,F,"10,162",0.01,804,0.856,0.053,2.64,27088,"4,099",0.078,"1,481.30",D,0.443,0.002,F,0.014,50423000,0.748,0.714,"4,365",0.262,"10,509",NA,0.259,NA,"$123,300 ",0.031,0.925,-0.033,6.86,0,"$23,819 ",0.535,15317000,0.877,"$52,605 "
Tuscaloosa ,Alabama,S,16.3,2115581000,0.174,0.298,0.044,F,0.314,0.018,0.098,S,"90,468",0.011,"6,900",0.479,0.05,2.45,77256,"32,724",0.416,"1,501.90",473631000,0.22,0.002,S,0.03,1693182000,0.191,0.415,"40,842",0.538,"77,906","$19,022 ",0.526,NA,"$154,000 ",0.076,0.724,0.161,60.23,Z,"$21,042 ",0.519,260678000,0.841,"$31,874 "
Saks ,Alabama,F,24.6,NA,0.234,0.157,0.017,F,0.114,0.008,0.159,F,"10,744",0.02,509,0.784,0.06,2.63,67608,"4,251",0.024,884.2,NA,S,0.004,F,0.034,42469000,S,0.194,"4,648",0.757,"10,698",NA,0.744,NA,"$94,700 ",0.033,0.889,0.004,12.15,Z,"$20,968 ",0.524,851000,0.769,"$43,955 "
Albertville ,Alabama,F,18.4,987938000,0.282,0.236,0.163,F,0.133,0.005,0.125,0.022,"21,160",0.021,"2,206",0.671,0.094,2.82,988,"7,144",0.124,796.8,823136000,0.256,0.008,F,0.279,447483000,0.016,0.019,"8,128",0.759,"17,247","$22,924 ",0.681,NA,"$99,800 ",0.228,0.848,0.227,26.56,0.001,"$16,839 ",0.507,24099000,0.699,"$35,843 "
Huntsville ,Alabama,0.011,18.1,8209622000,0.215,0.154,0.068,F,0.379,0.024,0.142,0.014,"180,105",0.025,"14,556",0.611,0.062,2.31,37000,"73,235",0.306,861.5,2425180000,0.299,0.006,0.04,0.058,3675778000,0.138,0.312,"84,949",0.603,"158,216","$21,473 ",0.58,NA,"$146,800 ",0.078,0.793,0.138,209.05,0.001,"$29,255 ",0.514,471899000,0.867,"$47,153 "
Tuskegee ,Alabama,F,19,NA,0.185,0.316,0.007,F,0.304,0.005,0.131,F,"9,865",0.013,902,0.481,0.052,2.14,77304,"3,352",0.321,613,D,S,0.001,F,0.013,40353000,0.749,0.958,"4,624",0.019,"11,846","$3,573 ",0.018,NA,"$83,200 ",0.041,0.71,-0.167,16.09,0,"$15,471 ",0.559,15605000,0.831,"$24,251 "
Millbrook ,Alabama,F,23.7,NA,0.278,0.08,0.016,F,0.247,0.008,0.093,F,"14,640",0.02,"1,073",0.75,0.071,2.68,48712,"5,236",0.116,"1,142.90",10862000,0.395,0.004,F,0.028,122022000,S,0.216,"5,996",0.742,"10,386","$7,485 ",0.728,NA,"$146,400 ",0.037,0.871,0.41,12.81,Z,"$26,002 ",0.516,16939000,0.913,"$60,475 "
Mountain Brook ,Alabama,F,18.3,NA,0.293,0.037,0.027,F,0.816,0.009,0.157,F,"20,413",0.006,"2,649",0.9,0.059,2.72,51696,"7,498",0.127,"1,596.50",61823000,0.254,0.001,F,0.01,181007000,F,0.01,"8,266",0.972,"20,604","$8,614 ",0.965,NA,"$566,500 ",0.039,0.894,-0.009,12.79,0,"$76,763 ",0.523,39466000,0.988,"$130,721 "
Tillmans Corner ,Alabama,F,24.7,NA,0.256,0.204,0.039,F,0.092,0.021,0.126,F,"17,398",0.019,"1,178",0.672,0.075,2.56,76320,"6,425",0.18,"1,341.00",39359000,0.183,0.006,S,0.038,155000000,S,0.114,"7,109",0.822,"15,685",NA,0.804,NA,"$101,500 ",0.063,0.837,0.109,12.97,0.001,"$18,291 ",0.512,18720000,0.802,"$38,031 "
Birmingham ,Alabama,0.005,22,4724751000,0.215,0.264,0.036,F,0.213,0.01,0.124,0.013,"212,237",0.01,"20,088",0.521,0.069,2.31,7000,"90,332",0.347,"1,453.00",6667818000,0.316,0.002,0.027,0.036,4690397000,0.377,0.734,"108,981",0.223,"242,820","$20,338 ",0.211,NA,"$85,800 ",0.051,0.774,-0.126,146.07,Z,"$19,775 ",0.532,587726000,0.824,"$31,827 "
Kalifornsky ,Alaska,F,19.2,NA,0.269,0.07,0.033,F,0.258,0.009,0.091,F,"7,850",0.056,347,0.83,0.07,2.43,37250,"3,035",0.111,114,17868000,0.196,0.05,F,0.035,15659000,F,0.004,"3,531",0.872,"5,846",NA,0.848,NA,"$187,500 ",0.061,0.87,0.343,68.87,0.002,"$32,743 ",0.483,1872000,0.932,"$71,899 "
Juneau (city and borough),Alaska,0.052,15.3,NA,0.235,0.065,0.069,F,0.347,0.061,0.084,S,"31,275",0.095,"3,500",0.64,0.063,2.52,36400,"12,005",0.322,11.6,D,0.265,0.118,0.036,0.051,465334000,0.01,0.009,"13,055",0.697,"30,711","$15,235 ",0.674,NA,"$291,600 ",0.109,0.787,0.018,"2,701.93",0.007,"$34,923 ",0.49,86874000,0.953,"$75,517 "
Fairbanks ,Alaska,0.048,13.1,NA,0.26,0.11,0.059,F,0.185,0.036,0.073,0.037,"31,535",0.079,"2,649",0.363,0.096,2.4,24230,"12,139",0.525,995,355080000,0.308,0.1,0.05,0.09,1185557000,0.034,0.09,"13,056",0.661,"30,224","$33,695 ",0.618,NA,"$192,500 ",0.136,0.674,0.043,31.69,0.008,"$26,373 ",0.468,155725000,0.893,"$51,320 "
Wasilla ,Alaska,S,30.7,NA,0.294,0.139,0.042,F,0.22,0.021,0.103,S,"7,831",0.065,"3,653",0.562,0.089,2.52,83080,"2,967",0.392,632.5,70389000,0.226,0.052,0.016,0.043,638596000,S,0.014,"3,277",0.834,"5,469","$65,598 ",0.813,NA,"$208,800 ",0.071,0.789,0.432,12.38,0.002,"$28,449 ",0.502,59283000,0.918,"$52,014 "
Kenai ,Alaska,S,15.1,NA,0.278,0.103,0.026,F,0.18,0.015,0.098,F,"7,100",0.079,"1,767",0.581,0.08,2.32,38420,"3,012",0.331,248.3,52251000,0.158,0.089,F,0.045,156901000,F,0.007,"3,166",0.799,"6,942","$20,406 ",0.77,NA,"$169,700 ",0.047,0.713,0.023,28.59,0.003,"$27,921 ",0.504,17420000,0.916,"$52,701 "
Tanaina ,Alaska,F,29.9,NA,0.323,0.101,0.046,F,0.189,0.012,0.054,F,"8,197",0.064,F,0.847,0.079,3.15,75077,"2,744",0.092,269.8,NA,F,0.045,F,0.045,NA,F,0.008,"2,879",0.859,"4,993",NA,0.834,NA,"$209,300 ",0.075,0.81,0.642,30.38,0.001,"$26,631 ",0.488,NA,0.93,"$67,197 "
Badger ,Alaska,F,23.9,NA,0.295,0.05,0.029,F,0.177,0.017,0.052,F,"19,482",0.058,F,0.836,0.086,2.99,5000,"6,064",0.06,296.8,NA,F,0.049,F,0.045,NA,F,0.027,"7,532",0.838,NA,NA,0.811,NA,"$197,200 ",0.055,0.798,NA,65.63,0.002,"$29,659 ",0.476,NA,0.937,"$82,283 "
Kodiak ,Alaska,0.189,9.8,D,0.27,0.128,0.311,F,0.236,0.374,0.09,S,"6,130",0.063,"1,368",0.503,0.078,2.62,40950,"2,214",0.462,"1,758.00",57478000,S,0.099,F,0.094,D,F,0.005,"2,178",0.403,"6,334",D,0.373,NA,"$173,000 ",0.403,0.765,-0.032,3.49,0.01,"$23,674 ",0.475,21977000,0.882,"$56,731 "
Sitka (city and borough),Alaska,0.128,10.1,NA,0.235,0.07,0.073,F,0.292,0.06,0.114,S,"8,881",0.098,"1,938",0.559,0.07,2.36,70540,"3,729",0.244,3.1,D,0.163,0.168,F,0.049,94916000,F,0.005,"4,102",0.653,"8,835","$10,875 ",0.635,NA,"$309,800 ",0.116,0.803,0.005,"2,870.34",0.003,"$29,982 ",0.495,27072000,0.923,"$62,024 "
Palmer ,Alaska,0.049,29.8,NA,0.293,0.181,0.021,F,0.203,0.011,0.096,0.019,"5,937",0.076,"1,783",0.625,0.08,2.58,58660,"1,860",0.276,"1,152.10",44129000,0.266,0.092,F,0.046,140302000,S,0.018,"2,281",0.791,"4,533","$18,057 ",0.764,NA,"$175,700 ",0.084,0.754,0.31,5.15,0.004,"$22,709 ",0.505,17428000,0.894,"$54,706 "
Chena Ridge ,Alaska,F,19.5,NA,0.235,0.021,0.092,F,0.435,0.018,0.059,F,"5,791",0.061,F,0.799,0.064,2.87,12920,"1,960",0.036,158.8,NA,F,0.062,F,0.032,NA,F,0.013,"2,596",0.838,NA,NA,0.819,NA,"$254,900 ",0.139,0.82,NA,36.47,Z,"$38,320 ",0.472,NA,0.96,"$91,389 "
Bethel ,Alaska,0.295,8.5,NA,0.327,0.078,0.011,F,0.258,0.025,0.045,S,"6,080",0.073,567,0.437,0.1,3.36,6520,"1,725",0.315,140.8,D,0.247,0.65,S,0.022,63372000,F,0.009,"2,364",0.233,"5,471","$9,949 ",0.227,NA,"$220,700 ",0.456,0.706,0.111,43.18,0.004,"$29,220 ",0.481,D,0.917,"$86,935 "
Meadow Lakes ,Alaska,F,37.3,NA,0.29,0.14,0.037,F,0.117,0.01,0.067,F,"7,570",0.062,F,0.826,0.082,2.74,47735,"2,425",0.094,100.6,NA,F,0.058,F,0.034,NA,F,0.007,"3,239",0.852,"4,819",NA,0.833,NA,"$184,900 ",0.069,0.846,0.571,75.22,0.004,"$24,333 ",0.474,NA,0.902,"$57,091 "
Knik-Fairview ,Alaska,F,36.5,NA,0.324,0.08,0.021,F,0.162,0.014,0.058,F,"14,923",0.072,220,0.876,0.097,3.09,40645,"3,958",0.064,179.6,D,S,0.053,F,0.041,D,F,0.01,"5,535",0.843,"7,049",D,0.818,NA,"$198,900 ",0.052,0.842,1.117,83.1,0.004,"$26,573 ",0.484,D,0.9,"$71,181 "
Sterling ,Alaska,F,22.2,NA,0.221,0.058,0.009,F,0.242,0.008,0.125,F,"5,617",0.043,F,0.845,0.054,2.41,73070,"2,202",0.027,72.2,NA,F,0.044,F,0.027,NA,F,0.001,"3,347",0.898,"4,705",NA,0.882,NA,"$221,600 ",0.031,0.868,0.194,77.76,0.001,"$32,672 ",0.472,NA,0.943,"$64,545 "
Homer ,Alaska,0.072,13.9,NA,0.219,0.079,0.038,F,0.337,0.01,0.145,F,"5,003",0.045,"1,909",0.585,0.062,2.17,33140,"2,289",0.226,361.8,D,0.129,0.041,F,0.021,96109000,F,0.004,"2,692",0.893,"3,946","$16,897 ",0.883,NA,"$251,200 ",0.117,0.762,0.268,13.83,0.001,"$32,035 ",0.505,27542000,0.961,"$52,057 "
